"houseCode","title","rentYuanPerMonth","district","businessArea","community","area","orientation","layout","floor","tags","brand","maintenance","detailUrl","coverUrl","photoCount","photoStatus","photoUrls","photoError","listPageUrl","page","collectedAt"
"BJ2189384917610135552","整租·中和家园 3室2厅 南/北","12000","朝阳区","南沙滩","中和家园","117.49㎡","南 北","3室2厅2卫","高楼层 （6层）","官方核验|近地铁|精装|集中供暖|双卫生间","链家",,"https://bj.zu.ke.com/zufang/BJ2189384917610135552.html","https://ke-image.ljcdn.com/110000-inspection/pc1_lA2kYBXhJ.jpg!m_fill,w_250,h_182,l_fbk,o_auto","10","multi","https://ke-image.ljcdn.com/110000-inspection/pc0_oh5AneWiE.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_aQcSI4kRu.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_uLgzgdRt4.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc1_lA2kYBXhJ.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_sSQcAnchG.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_Czuk0cHZX.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_GJt95vtpU.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_e9nbPKHBz.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_ONR4PvIEF.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_yxZ3q6FO5.jpg!m_fill,w_780,h_439,l_fbk,o_auto",,"https://bj.zu.ke.com/ditiezufang/li43143633s46538455/rt200600000001l1l2/","1","2026/8/23 17:05:25"
"BJ2187062357912453120","整租·中和家园 2室1厅 东/西","6600","朝阳区","南沙滩","中和家园","83.43㎡","东 西","2室1厅1卫","中楼层 （14层）","官方核验|近地铁|集中供暖|随时看房","链家","今天维护","https://bj.zu.ke.com/zufang/BJ2187062357912453120.html","https://ke-image.ljcdn.com/110000-inspection/pc1_KwR9NbLQ8.jpg!m_fill,w_250,h_182,l_fbk,o_auto","12","multi","https://ke-image.ljcdn.com/110000-inspection/pc0_LjfVa0lIa.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_IbhzLN4IQ.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_XwZKZkRlA.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_fvE9WZskQ.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc1_KwR9NbLQ8.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_20Huct1Dg.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_fJe3HiQJU.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_9foYUyYHI.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_aWGTQC1fl.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_rTMMqZn5Z.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_QaJuu8Y0Q.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_jfcEQUHlN.jpg!m_fill,w_780,h_439,l_fbk,o_auto",,"https://bj.zu.ke.com/ditiezufang/li43143633s46538455/rt200600000001l1l2/","1","2026/8/23 17:05:25"
"BJ2202719626796728320","整租·南沙滩小区 3室1厅 南/北","8000","朝阳区","南沙滩","南沙滩小区","76.99㎡","南 北","3室1厅1卫","高楼层 （6层）","自营|新上|近地铁|精装|集中供暖|押一付一|随时看房|首次出租","贝壳优选","今天维护","https://bj.zu.ke.com/zufang/BJ2202719626796728320.html","https://ke-image.ljcdn.com/lease-image/house/57414f8b1917cf0a22662867c2668d16.jpeg.250x182.jpg","11","multi","https://ke-image.ljcdn.com/lease-image/house/57414f8b1917cf0a22662867c2668d16.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/94ee83e41564defa511128de40eded0a.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/7d1f465d24267dff088ff6c85132695c.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/92cf733a0a3b5b21feb3af8ebae17870.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/f51907d00acc0f7f93798efca3577251.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/487617bcea62a63256aa47851376f23e.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/afc9ba3abf713aec8f6e2cc2e2878a84.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/9fd6b27f3f09bde2857ef62e86d881a8.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/688bde23cbe87ebcbd06f6487f193c5e.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/b71847df9236a55c20e5657d4df30929.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/54b4d1529c99082c3940c250332efcd5.jpeg.780x439.jpg",,"https://bj.zu.ke.com/ditiezufang/li43143633s46538455/rt200600000001l1l2/","1","2026/8/23 17:05:25"
"BJ2153879524893261824","整租·华源冠军城 2室1厅 南","8900","朝阳区","南沙滩","华源冠军城","95.29㎡","南","2室1厅1卫","中楼层 （21层）","官方核验|近地铁|精装|集中供暖|随时看房","链家",,"https://bj.zu.ke.com/zufang/BJ2153879524893261824.html","https://ke-image.ljcdn.com/110000-inspection/pc1_F8eWEETRL.jpg!m_fill,w_250,h_182,l_fbk,o_auto","7","multi","https://ke-image.ljcdn.com/110000-inspection/pc1_F8eWEETRL.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_FPz8FYnNp.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_xIrVH5KTo.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_9f9Re25Kf.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_MhScj4Ine.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_A9dIBx90F.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_zCONEivty.jpg!m_fill,w_780,h_439,l_fbk,o_auto",,"https://bj.zu.ke.com/ditiezufang/li43143633s46538455/rt200600000001l1l2/","1","2026/8/23 17:05:25"
"BJ2187161491990380544","整租·北沙滩小区 3室1厅 南/北","8100","朝阳区","奥林匹克公园","北沙滩小区","76.00㎡","南 北","3室1厅1卫","中楼层 （6层）","近地铁|精装|集中供暖","链家",,"https://bj.zu.ke.com/zufang/BJ2187161491990380544.html","https://ke-image.ljcdn.com/110000-inspection/pc1_b64AZQ3qU.jpg!m_fill,w_250,h_182,l_fbk,o_auto","7","multi","https://ke-image.ljcdn.com/110000-inspection/pc1_b64AZQ3qU.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_jgu4EWf2d.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_9vpSj6J7O.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_MRlqHTMFW.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_FLvSg92v7.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_4TaEm6ZLq.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_NTyECzUyA.jpg!m_fill,w_780,h_439,l_fbk,o_auto",,"https://bj.zu.ke.com/ditiezufang/li43143633s46538455/rt200600000001l1l2/","1","2026/8/23 17:05:25"
"BJ1709536637572087808","整租·二里庄北里 2室1厅 南/北","4830","海淀区","二里庄","二里庄北里","46.70㎡","南 北","2室1厅1卫","高楼层 （6层）","自营|月租|近地铁|集中供暖|押一付一|随时看房","贝壳优选","今天维护","https://bj.zu.ke.com/zufang/BJ1709536637572087808.html","https://ke-image.ljcdn.com/110000-inspection/pc1_crcHWcD9B.jpg!m_fill,w_250,h_182,l_fbk,o_auto","6","multi","https://ke-image.ljcdn.com/110000-inspection/pc1_crcHWcD9B.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_1L2wEgZzg.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_6PICupmom.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_5ai0034oc.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_41l6TLhh8.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_1BRfq7UId.jpg!m_fill,w_780,h_439,l_fbk,o_auto",,"https://bj.zu.ke.com/ditiezufang/li43143633s46538455/rt200600000001l1l2/","1","2026/8/23 17:05:25"
"BJ2195077213701799936","整租·中和家园 2室2厅 东/西","8100","朝阳区","南沙滩","中和家园","101.50㎡","东 西","2室2厅1卫","高楼层 （14层）","近地铁|精装|集中供暖","链家",,"https://bj.zu.ke.com/zufang/BJ2195077213701799936.html","https://ke-image.ljcdn.com/110000-inspection/pc1_eAbtXxhLN.jpg!m_fill,w_250,h_182,l_fbk,o_auto","7","multi","https://ke-image.ljcdn.com/110000-inspection/pc0_Rsf04FrZ7.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_FQ2jSE8YL.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_J1U3n9dy5.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_fPX5AjcAz.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_hJayycznL.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_gpEevUAgj.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc1_eAbtXxhLN.jpg!m_fill,w_780,h_439,l_fbk,o_auto",,"https://bj.zu.ke.com/ditiezufang/li43143633s46538455/rt200600000001l1l2/","1","2026/8/23 17:05:25"
"BJ1976175528645754880","整租·南沙滩小区 2室1厅 东/西","5400","朝阳区","南沙滩","南沙滩小区","52.37㎡","东 西","2室1厅1卫","低楼层 （6层）","自营|月租|近地铁|集中供暖|押一付一|随时看房","贝壳优选","今天维护","https://bj.zu.ke.com/zufang/BJ1976175528645754880.html","https://ke-image.ljcdn.com/lease-image/house/b4df872163fee089cfd358d636af5638.jpeg.250x182.jpg","11","multi","https://ke-image.ljcdn.com/lease-image/house/b4df872163fee089cfd358d636af5638.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/080d9ef0947843049f9ba56cf8dcbac6.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/e8c60b0630e2a7303c21fcd11c52d589.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/bf3ef410800c80de45a2e65b0624f28d.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/990705527a605bb9cea7c779919d506d.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/c91c74a44f4235cb375c2fb9c577d3db.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/95ff342f920d230af88c69d1c33690c2.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/2870ab7dce030695948a8f0593c16bbe.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/79e800595f591b113d06e8b4a1e695fa.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/7c71c0f0cbb3028d2f7f200b550942fd.jpeg.780x439.jpg|https://ke-image.ljcdn.com/lease-image/house/f6802b9463c959fe5621a5d9d1ce2606.jpeg.780x439.jpg",,"https://bj.zu.ke.com/ditiezufang/li43143633s46538455/rt200600000001l1l2/","1","2026/8/23 17:05:25"
"BJ2199744704235438080","整租·中和家园 2室1厅 南/北","7600","朝阳区","南沙滩","中和家园","72.28㎡","南 北","2室1厅1卫","低楼层 （6层）","近地铁|精装|集中供暖","链家","1天前维护","https://bj.zu.ke.com/zufang/BJ2199744704235438080.html","https://ke-image.ljcdn.com/110000-inspection/pc1_UQ3ckHiAD.jpg!m_fill,w_250,h_182,l_fbk,o_auto","11","multi","https://ke-image.ljcdn.com/110000-inspection/pc0_m2ZN4FQUt.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_DBrCI4EvU.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_Xv3TdNqMc.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_8zAuEMktO.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc1_UQ3ckHiAD.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_3QeI2APzE.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_fU5o0FYiD.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_rkOqWPTmQ.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_DIDMHQ8Lm.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_2aCWQabNu.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/pc0_tOUdfpPgi.jpg!m_fill,w_780,h_439,l_fbk,o_auto",,"https://bj.zu.ke.com/ditiezufang/li43143633s46538455/rt200600000001l1l2/","1","2026/8/23 17:05:25"
"BJ2185405688824463360","整租·南沙滩小区 2室1厅 西北","6000","朝阳区","南沙滩","南沙滩小区","50.00㎡","西北","2室1厅1卫","低楼层 （6层）","近地铁|精装|集中供暖","链家","1天前维护","https://bj.zu.ke.com/zufang/BJ2185405688824463360.html","https://ke-image.ljcdn.com/110000-inspection/pc1_cUKG2s44e.jpg!m_fill,w_250,h_182,l_fbk,o_auto","8","multi","https://ke-image.ljcdn.com/110000-inspection/pc1_cUKG2s44e.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/17863514421421786351436875_424792370.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/17863514569721786351454819_424792393.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/17863514773841786351475674_424792392.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/17863515014021786351498475_424792394.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/17863515181131786351515927_424792395.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/17863515304561786351528928_424792397.jpg!m_fill,w_780,h_439,l_fbk,o_auto|https://ke-image.ljcdn.com/110000-inspection/17863515444931786351543029_424792396.jpg!m_fill,w_780,h_439,l_fbk,o_auto",,"https://bj.zu.ke.com/ditiezufang/li43143633s46538455/rt200600000001l1l2/","1","2026/8/23 17:05:25"
